Sport,Event,Medal,Athlete,Country,Year,City,Season
CYCLING TRACK,MEN’S MADISON,Silver,Simone Consonni and Elia Viviani,Italy,2024,Paris,Summer
DIVING,MEN’S 10M PLATFORM,Silver,Rikuto Tamai,Japan,2024,Paris,Summer
GOLF,WOMEN’S INDIVIDUAL,Silver,Esther Henseleit,Germany,2024,Paris,Summer
HANDBALL,WOMEN,Silver,France,France,2024,Paris,Summer
MODERN PENTATHLON,MEN’S,Silver,Taishu Sato,Japan,2024,Paris,Summer
RHYTHMIC GYMNASTICS,GROUP ALL-AROUND,Silver,Israel,Israel,2024,Paris,Summer
SOCCER,WOMEN’S,Silver,Brazil,Brazil,2024,Paris,Summer
SPORT CLIMBING,WOMEN’S BOULDER & LEAD,Silver,Brooke Raboutou,United States,2024,Paris,Summer
TABLE TENNIS,WOMEN’S TEAM,Silver,Japan,Japan,2024,Paris,Summer
TAEKWONDO,MEN’S +80KG,Silver,Caden Cunningham,Great Britain,2024,Paris,Summer
TAEKWONDO,WOMEN’S +67KG,Silver,Svetlana Osipova,Uzbekistan,2024,Paris,Summer
TRACK AND FIELD,MEN’S MARATHON,Silver,Bashir Abdi,Belgium,2024,Paris,Summer
TRACK AND FIELD,MEN’S 800M,Silver,Marco Arop,Canada,2024,Paris,Summer
TRACK AND FIELD,MEN’S 5000M,Silver,Ronald Kwemoi,Kenya,2024,Paris,Summer
TRACK AND FIELD,MEN’S HIGH JUMP,Silver,Shelby McEwen,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S 4X400M RELAY,Silver,Botswana,Botswana,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X400M RELAY,Silver,Netherlands,Netherlands,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 1500M,Silver,Jessica Hull,Australia,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S JAVELIN THROW,Silver,Jo-Ane van Dyk,South Africa,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 100M HURDLES,Silver,Cyréna Samba-Mayela,France,2024,Paris,Summer
VOLLEYBALL,MEN’S TEAM,Silver,Poland,Poland,2024,Paris,Summer
WATER POLO,WOMEN’S,Silver,Australia,Australia,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 102KG,Silver,Akbar Djuraev,Uzbekistan,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 102KG,Silver,Varazdat Lalayan,Armenia,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 81KG,Silver,Sara Ahmed,Egypt,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 74KG,Silver,Daichi Takatani,Japan,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 62KG,Silver,Iryna Koliadenko,Ukraine,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 125KG,Silver,Amir Hossein Zare,Iran,2024,Paris,Summer
TRACK AND FIELD,MEN’S 400M HURDLES,Silver,Karsten Warholm,Norway,2024,Paris,Summer
TRACK AND FIELD,MEN’S TRIPLE JUMP,Silver,Pedro Pichardo,Portugal,2024,Paris,Summer
TRACK AND FIELD,MEN’S 4X100M RELAY,Silver,South Africa,South Africa,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X100M RELAY,Silver,Britain,Britain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S SHUT PUT,Silver,Maddison-Lee Wesche,New Zealand,2024,Paris,Summer
TRACK AND FIELD,"WOMEN’S 10,000M",Silver,Nadia Battocletti,Italy,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 400M,Silver,Salwa Eid Naser,Bahrain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X100M RELAY,Silver,Britain,Britain,2024,Paris,Summer
BEACH VOLLEYBALL,WOMEN’S,Silver,Canada,Canada,2024,Paris,Summer
BOXING,MEN’S 71KG,Silver,Marco Verde,Mexico,2024,Paris,Summer
BOXING,MEN’S 92 KG,Silver,Loren Berto Alfonso Dominguez,Azerbaijan,2024,Paris,Summer
BOXING,WOMEN’S 50KG,Silver,Buse Naz Cakiroglu,Turkey,2024,Paris,Summer
BOXING,WOMEN’S 66KG,Silver,Yang Liu,China,2024,Paris,Summer
BREAKING,B-GIRLS,Silver,Nicka (Dominika Banevič),Lithuania,2024,Paris,Summer
CANOE SPRINT,MEN’S KAYAK DOUBLE 500M,Silver,Bence Nadas and Sandor Totka,Hungary,2024,Paris,Summer
CANOE SPRINT,MEN’S CANOE SINGLE 1000M,Silver,Isaquias Queiroz,Brazil,2024,Paris,Summer
CANOE SPRINT,WOMEN’S KAYAK DOUBLE 500M,Silver,Tamara Csipes and Dora Alida Gazso,Hungary,2024,Paris,Summer
CANOE SPRINT,WOMEN’S CANOE DOUBLE 500M,Silver,Liudmyla Luzan and Anastasiia Rybachok,Ukraine,2024,Paris,Summer
CYCLING TRACK,MEN’S SPRINT,Silver,Matthew Richardson,Australia,2024,Paris,Summer
CYCLING TRACK,WOMEN’S MADISON,Silver,Elinor Barker and Neah Evans),Great Britain,2024,Paris,Summer
DIVING,WOMEN’S 3M SPRINGBOARD,Silver,Maddison Keeney,Australia,2024,Paris,Summer
FIELD HOCKEY,WOMEN’S,Silver,China,China,2024,Paris,Summer
MARATHON SWIMMING,MEN’S 10KM,Silver,Oliver Klemet,Germany,2024,Paris,Summer
RHYTHMIC GYMNASTICS,INDIVIDUAL ALL-AROUND,Silver,Boryana Kaleyn,Bulgaria,2024,Paris,Summer
SAILING,MEN’S KITE,Silver,Toni Vodisek,Slovenia,2024,Paris,Summer
SOCCER,MEN,Silver,France,France,2024,Paris,Summer
SPORT CLIMBING,MEN’S BOULDER & LEAD,Silver,Sorato Anraku,Japan,2024,Paris,Summer
TABLE TENNIS,MEN’S TEAM,Silver,Sweden,Sweden,2024,Paris,Summer
TAEKWONDO,WOMEN’S -67KG,Silver,Aleksandra Perisic,Serbia,2024,Paris,Summer
TAEKWONDO,MEN’S -80KG,Silver,Mehran Barkhordari,Iran,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 71KG,Silver,Mari Leivis Sanchez,Colombia,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 89KG,Silver,Yeison López,Colombia,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 57KG,Silver,Anastasia Nichita,Moldova,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 57KG,Silver,Spencer Lee,United States,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 86KG,Silver,Hassan Yazdanicharati,Iran,2024,Paris,Summer
TRACK AND FIELD,MEN’S 200M,Silver,Kenneth Bednarek,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S 110M HURDLES,Silver,Daniel Roberts,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S JAVELIN THROW,Silver,Neeraj Chopra,India,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 400M HURDLES,Silver,Anna Cockrell,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S LONG JUMP,Silver,Malaika Mihambo,Germany,2024,Paris,Summer
CYCLING,MEN’S OMNIUM,Silver,Iuri Leitao,Portugal,2024,Paris,Summer
CYCLING,WOMEN’S KEIRIN,Silver,Hetty van de Wouw,Netherlands,2024,Paris,Summer
CANOE SLALOM,MEN’S CANOE DOUBLE 500M,Silver,Gabriele Casadei and Carlo Tacchini,Italy,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK FOUR 500M,Silver,Germany,Germany,2024,Paris,Summer
CANOE SLALOM,MEN’S KAYAK FOUR 500M,Silver,Australia,Australia,2024,Paris,Summer
FIELD HOCKEY,MEN’S,Silver,Germany,Germany,2024,Paris,Summer
MARATHON SWIMMING,WOMEN’S 10KM,Silver,Moesha Johnson,Australia,2024,Paris,Summer
SPORTS CLIMBING,MEN’S SPEED,Silver,Wu Peng,China,2024,Paris,Summer
DIVING,MEN’S 3M SPRINGBOARD,Silver,Wang Zongyuan,China,2024,Paris,Summer
SAILING,MIXED DINGHY,Silver,Keiju Okada and Miho Yoshioka,Japan,2024,Paris,Summer
SAILING,MIXED MULTIHULL,Silver,Mateo Majdalani and Eugenia Bosco,Argentina,2024,Paris,Summer
SAILING,WOMEN’S KITE,Silver,Lauriane Nolot,France,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 59KG,Silver,Maude Charron,Canada,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 67KG,Silver,Parviz Nasibov,Ukraine,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 87KG,Silver,Alireza Mohmadipiani,Iran,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 53KG,Silver,Lucia Yamileth Yepez Guzman,Ecuador,2024,Paris,Summer
ARTISTIC SWIMMING,TEAM,Silver,United States,United States,2024,Paris,Summer
BOXING,MEN’S 63.5KG,Silver,Sofiane Oumiha,France,2024,Paris,Summer
BOXING,MEN’S 80KG,Silver,Nurbek Oralbay,Kazakhstan,2024,Paris,Summer
CLIMBING,WOMEN’S SPEED,Silver,Deng Lijuan,China,2024,Paris,Summer
CYCLING,CYCLING MEN’S TEAM PURSUIT,Silver,"Daniel Bigham, Ethan Hayter, Charlie Tanfield, Ethan Vernon, Oliver Wood)",Great Britain,2024,Paris,Summer
CYCLING,CYCLING WOMEN’S TEAM PURSUIT,Silver,"Bryony Botha, Emily Shearman, Nicole Shields, Ally Wollaston)",New Zealand,2024,Paris,Summer
SAILING,MEN’S DINGHY,Silver,Pavlos Kontides,Cyprus,2024,Paris,Summer
SAILING,WOMEN’S DINGHY,Silver,Anne-Marie Rindom,Denmark,2024,Paris,Summer
SKATEBOARDING,MEN’S PARK,Silver,Tom Schaar,United States,2024,Paris,Summer
TAEKWONDO,MEN 58KG,Silver,Gashim Magomedov,Azerbaijan,2024,Paris,Summer
TAEKWONDO,WOMEN’S 49KG,Silver,Guo Qing,China,2024,Paris,Summer
TRACK AND FIELD,MEN’S 400M,Silver,Matthew Hudson-Smith,Great Britain,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 3,000M STEEPLECHASE",Silver,Kenneth Rooks,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S DISCUS THROW,Silver,Mykolas Alekna,Lithuania,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S POLE VAULT,Silver,Katie Moon,United States,2024,Paris,Summer
TRACK AND FIELD,MARATHON RACE WALK MIXED RELAY,Silver,Ecuador,Ecuador,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 61KG,Silver,Theerapong Silachai,Thailand,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 49KG,Silver,Mihaela Valentina Cambei,Romania,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 77KG,Silver,Demeu Zhadrayev,Kazakhstan,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 97KG,Silver,Artur Aleksanyan,Armenia,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 50KG,Silver,Yusneylis Guzman Lopez,Cuba,2024,Paris,Summer
BOXING,WOMEN’S 60KG,Silver,Yang Wenlu,China,2024,Paris,Summer
CYCLING TRACK,MEN’S TEAM SPRINT,Silver,Britain,Britain,2024,Paris,Summer
DIVING,WOMEN’S 10M PLATFORM,Silver,Chen Yuxi,China,2024,Paris,Summer
EQUESTRIAN,INDIVIDUAL JUMPING,Silver,Steve Guerdat,Switzerland,2024,Paris,Summer
SKATEBOARDING,WOMEN’S PARK,Silver,Cocona Hiraki,Japan,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 200M,Silver,Julien Alfred,Saint Lucia,2024,Paris,Summer
TRACK AND FIELD,"WOMEN’S 3,000M STEEPLECHASE",Silver,Peruth Chemutai,Uganda,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S HAMMER THROW,Silver,Ennette Nneka Echikunwoke,United States,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 1,500M",Silver,Josh Kerr,Great Britain,2024,Paris,Summer
TRACK AND FIELD,MEN’S LONG JUMP,Silver,Wayne Pinnock,Jamaica,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 130KG,Silver,Yasmani Acosta Fernandez,Chile,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 60KG,Silver,Cao Liguo,China,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 68KG,Silver,Meerim Zhumanazarova,Kyrgyzstan,2024,Paris,Summer
3X3 BASKETBALL,MEN’S 3X3 BASKETBALL,Silver,France,France,2024,Paris,Summer
3X3 BASKETBALL,WOMEN’S 3X3 BASKETBALL,Silver,Spain,Spain,2024,Paris,Summer
BADMINTON,MEN’S SINGLES,Silver,Kunlavut Vitidsarn,Thailand,2024,Paris,Summer
BADMINTON,WOMEN’S SINGLES,Silver,He Bing Jiao,China,2024,Paris,Summer
CANOE SLALOM,MEN’S KAYAK CROSS,Silver,Joseph Clarke,Great Britain,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK CROSS,Silver,Angele Hug,France,2024,Paris,Summer
CYCLING TRACK,WOMEN’S TEAM SPRINT,Silver,New Zealand,New Zealand,2024,Paris,Summer
GYMNASTICS,MEN’S HORIZONTAL BAR,Silver,Angel Barajas,Colombia,2024,Paris,Summer
GYMNASTICS,MEN’S PARALLEL BARS,Silver,Illia Kovtun,Ukraine,2024,Paris,Summer
GYMNASTICS,WOMEN’S BALANCE BEAM,Silver,Zhou Yaqin,China,2024,Paris,Summer
GYMNASTICS,WOMEN’S FLOOR EXERCISE,Silver,Simone Biles,United States,2024,Paris,Summer
SHOOTING,MEN’S 25M RAPID FIRE PISTOL,Silver,Cho Yeong-jae,South Korea,2024,Paris,Summer
SHOOTING,MIXED TEAM SKEET,Silver,Austen Smith and Vincent Hancock,United States,2024,Paris,Summer
SURFING,MEN,Silver,Jack Robinson,Australia,2024,Paris,Summer
SURFING,WOMEN,Silver,Tatiana Weston-Webb,Brazil,2024,Paris,Summer
TRACK AND FIELD,MEN’S POLE VAULT,Silver,Sam Kendricks,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 800M,Silver,Tsige Duguma,Ethiopia,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 5000M,Silver,Faith Kipyegon,Kenya,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S DISCUS THROW,Silver,Feng Bin,China,2024,Paris,Summer
TRIATHLON,MIXED RELAY,Silver,United States,United States,2024,Paris,Summer
ARCHERY,MEN’S INDIVIDUAL,Silver,Brady Ellison,United States,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S RINGS,Silver,Zou Jingyuan,China,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S VAULT,Silver,Artur Davtyan,Armenia,2024,Paris,Summer
ARTISTIC GYMNASTICS,WOMEN’S UNEVEN BARS,Silver,Qui Qiyuan,China,2024,Paris,Summer
BADMINTON,MEN’S DOUBLES,Silver,Liang Wei Keng and Wang Chang,China,2024,Paris,Summer
CYCLING,WOMEN’S ROAD RACE,Silver,Marianne Vos,Netherlands,2024,Paris,Summer
EQUESTRIAN,DRESSAGE INDIVIDUAL,Silver,Isabell Werth,Germany,2024,Paris,Summer
FENCING,MEN’S FOIL TEAM,Silver,Italy,Italy,2024,Paris,Summer
GOLF,MEN’S INDIVIDUAL,Silver,Tommy Fleetwood,Great Britain,2024,Paris,Summer
SHOOTING,WOMEN’S SKEET,Silver,Amber Rutter,Great Britain,2024,Paris,Summer
SWIMMING,WOMEN’S 50M FREESTYLE,Silver,Meg Harris,Australia,2024,Paris,Summer
SWIMMING,WOMEN’S 4x100M MEDLEY RELAY,Silver,Australia,Australia,2024,Paris,Summer
SWIMMING,MEN’S 1500M FREESTYLE,Silver,Gregorio Paltrinieri,Italy,2024,Paris,Summer
SWIMMING,MEN’S 4x100M MEDLEY RELAY,Silver,United States,United States,2024,Paris,Summer
TABLE TENNIS,MEN’S SINGLES,Silver,Truls Moregard,Sweden,2024,Paris,Summer
TENNIS,MEN’S SINGLES,Silver,Carlos Alcaraz,Spain,2024,Paris,Summer
TENNIS,WOMEN’S DOUBLES,Silver,Mirra Andreeva and Diana Shnaider,Belarus,2024,Paris,Summer
TRACK AND FIELD,MEN’S 100M,Silver,Kishane Thompson,Jamaica,2024,Paris,Summer
TRACK AND FIELD,MEN’S HAMMER THROW,Silver,Bence Halasz,Hungary,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S HIGH JUMP,Silver,Nicola Olyslagers,Australia,2024,Paris,Summer
ARCHERY,WOMEN’S INDIVIDUAL,Silver,Nam Su-hyeon,South Korea,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S FLOOR EXERCISE,Silver,Artem Dolgopyat,Israel,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S POMMEL HORSE,Silver,Nariman Kurbanov,Kazakhstan,2024,Paris,Summer
ARTISTIC GYMNASTICS,WOMEN’S VAULT,Silver,Rebeca Andrade,Brazil,2024,Paris,Summer
BADMINTON,WOMEN’S DOUBLES,Silver,Liu Shengshu and Tan Ning,China,2024,Paris,Summer
CYCLING,MEN’S ROAD RACE,Silver,Valentin Madouas,France,2024,Paris,Summer
EQUESTRIAN,DRESSAGE TEAM,Silver,Denmark,Denmark,2024,Paris,Summer
FENCING,WOMEN’S TEAM SABER,Silver,South Korea,South Korea,2024,Paris,Summer
JUDO,MIXED TEAM,Silver,Japan,Japan,2024,Paris,Summer
ROWING,MEN’S EIGHT,Silver,Netherlands,Netherlands,2024,Paris,Summer
ROWING,WOMEN’S EIGHT,Silver,Canada,Canada,2024,Paris,Summer
ROWING,MEN’S SINGLE SCULLS,Silver,Yauheni Zalaty,Belarus,2024,Paris,Summer
ROWING,WOMEN’S SINGLE SCULLS,Silver,Emma Twigg,New Zealand,2024,Paris,Summer
SAILING,MEN’S WINDSURFING,Silver,Grae Morris,Australia,2024,Paris,Summer
SAILING,WOMEN’S WINDSURFING,Silver,Sharon Kantor,Israel,2024,Paris,Summer
SHOOTING,WOMEN’S 25M PISTOL,Silver,Camille Jedrzejewski,France,2024,Paris,Summer
SHOOTING,MEN’S SKEET,Silver,Conner Lynn Prince,United States,2024,Paris,Summer
SWIMMING,MEN’S 100M BUTTERFLY,Silver,Josh Liendo,Canada,2024,Paris,Summer
SWIMMING,MIXED 4X100 MEDLEY RELAY,Silver,China,China,2024,Paris,Summer
SWIMMING,WOMEN’S 200M INDIVIDUAL MEDLEY,Silver,Kate Douglass,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 800M FREESTYLE,Silver,Ariarne Titmus,Australia,2024,Paris,Summer
TABLE TENNIS,WOMEN’S SINGLES,Silver,Sun Yingsha,China,2024,Paris,Summer
TENNIS,MEN’S DOUBLES,Silver,Austin Krajicek and Rajeev Ram,United States,2024,Paris,Summer
TENNIS,WOMEN’S SINGLES,Silver,Donna Vekic,Croatia,2024,Paris,Summer
TRACK AND FIELD,MEN’S SHOTPUT,Silver,Joe Kovacs,United States,2024,Paris,Summer
TRACK AND FIELD,MIXED 4X400M RELAY,Silver,United States,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 100M,Silver,Sha’Carri Richardson,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S TRIPLE JUMP,Silver,Shanieka Ricketts,Jamaica,2024,Paris,Summer
ARCHERY,MIXED TEAM,Silver,Michelle Kroppen and Florian Unruh,Germany,2024,Paris,Summer
BADMINTON,MIXED DOUBLES,Silver,Kim Won-ho and Jeong Na-eun,South Korea,2024,Paris,Summer
DIVING,MEN’S SYNCHRONIZED 3M SPRINGBOARD,Silver,Juan Celaya and Osmar Olvera,Mexico,2024,Paris,Summer
CYCLING BMX RACING,MEN’S,Silver,Sylvain Andre,France,2024,Paris,Summer
CYCLING BMX RACING,WOMEN’S,Silver,Manon Veenstra,Netherlands,2024,Paris,Summer
EQUESTRIAN,TEAM JUMPING,Silver,United States,United States,2024,Paris,Summer
FENCING,MEN’S TEAM ÉPÉE,Silver,Japan,Japan,2024,Paris,Summer
JUDO,MEN’S +100KG,Silver,Kim Min-jong,South Korea,2024,Paris,Summer
JUDO,WOMEN’S +78KG,Silver,Raz Hershko,Israel,2024,Paris,Summer
ROWING,MEN’S PAIR,Silver,Tom George and Oliver Wynne-Griffith,Great Britain,2024,Paris,Summer
ROWING,MEN’S LIGHTWEIGHT DOUBLE SCULLS,Silver,Stefano Oppo and Gabriel Soares,Italy,2024,Paris,Summer
ROWING,WOMEN’S PAIR,Silver,Roxana Anghel and Ioana Vrinceanu,Romania,2024,Paris,Summer
ROWING,WOMEN’S LIGHTWEIGHT DOUBLE SCULLS,Silver,Ionela Cozmiuc and Gianina van Groningen,Romania,2024,Paris,Summer
SAILING,MEN’S SKIFF,Silver,Isaac McHardie and William McKenzie,New Zealand,2024,Paris,Summer
SAILING,WOMEN’S SKIFF,Silver,Vilma Bobeck and Rebecca Netzler,Sweden,2024,Paris,Summer
SHOOTING,WOMEN’S 50M RIFLE 3 POSITIONS,Silver,Sagen Maddalena,United States,2024,Paris,Summer
SWIMMING,MEN’S 200M INDIVIDUAL MEDLEY,Silver,Duncan Scott,Great Britain,2024,Paris,Summer
SWIMMING,MEN’S 50M FREESTYLE,Silver,Benjamin Proud,Great Britain,2024,Paris,Summer
SWIMMING,WOMEN’S 200 BACKSTROKE,Silver,Regan Smith,United States,2024,Paris,Summer
TENNIS,MIXED DOUBLES,Silver,Wang Xinyu and Zhang Zhizhen,China,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 10,000M",Silver,Berihu Aregawi,Ethiopia,2024,Paris,Summer
TRAMPOLINE,MEN’S ,Silver,Wang Zisai,China,2024,Paris,Summer
TRAMPOLINE,WOMEN’S,Silver,Viyaleta Bardzilouskaya,Belarus,2024,Paris,Summer
CANOE SLALOM,MEN’S SINGLE KAYAK,Silver,Titouan Castryck,France,2024,Paris,Summer
FENCING,WOMEN’S TEAM FOIL,Silver,Italy,Italy,2024,Paris,Summer
GYMNASTICS,WOMEN’S ALL-AROUND,Silver,Rebeca Andrade,Brazil,2024,Paris,Summer
JUDO,MEN’S -100KG,Silver,Ilia Sulamanidze,Georgia,2024,Paris,Summer
JUDO,WOMEN’S -78KG,Silver,Inbar Lanir,Israel,2024,Paris,Summer
ROWING,MEN’S DOUBLE SCULLS,Silver,Stef Broenink and Melvin Twellaar,Netherlands,2024,Paris,Summer
ROWING,WOMEN’S DOUBLE SCULLS,Silver,Ancuta Bodnar and Simona Radis,Romania,2024,Paris,Summer
ROWING,MEN’S FOUR,Silver,New Zealand,New Zealand,2024,Paris,Summer
ROWING,WOMEN’S FOUR,Silver,Britain,Britain,2024,Paris,Summer
SHOOTING,MEN’S 50M RIFLE 3 POSITIONS,Silver,Serhiy Kulish,Ukraine,2024,Paris,Summer
SWIMMING,MEN’S 200M BACKSTROKE,Silver,Apostolos Christou,Greece,2024,Paris,Summer
SWIMMING,WOMEN’S 200M BUTTERFLY,Silver,Regan Smith,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 200M BREASTSTROKE,Silver,Tatjana Smith,South Africa,2024,Paris,Summer
SWIMMING,WOMENS 4X200 FREESTYLE RELAY,Silver,United States,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S 20KM RACE WALK,Silver,Caio Bonfim,Brazil,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 20KM RACE WALK,Silver,María Pérez,Spain,2024,Paris,Summer
GYMNASTICS,MEN’S ALL AROUND,Silver,Zhang Boheng,China,2024,Paris,Summer
CANOE,WOMEN’S SINGLE,Silver,Elena Lilik,Germany,2024,Paris,Summer
CYCLING,WOMEN’S PARK,Silver,Perris Benegas,United States,2024,Paris,Summer
CYCLING,MEN’S PARK,Silver,Kieran Darren David Reilly,Great Britain,2024,Paris,Summer
DIVING,WOMEN’S SYNCHRONIZED 10-METER PLATFORM,Silver,Jo Jin Mi and Kim Mi Rae,North Korea,2024,Paris,Summer
FENCING,MEN’S SABRE TEAM,Silver,Hungary,Hungary,2024,Paris,Summer
JUDO,WOMEN’S 70KG,Silver,Miriam Butkereit,Germany,2024,Paris,Summer
JUDO,MEN’S 90KG,Silver,Sanshiro Murao,Japan,2024,Paris,Summer
ROWING,MEN’S QUADRUPLE SCULLS,Silver,"Luca Chiumento, Luca Rambaldi, Andrea Panizza, Giacomo Gentili)",Italy,2024,Paris,Summer
ROWING,WOMEN’S QUADRUPLE SCULLS,Silver,"Laila Youssifou, Bente Paulis, Roos de Jong, Tessa Dullemans)",Netherlands,2024,Paris,Summer
SWIMMING,WOMEN’S 100M FREESTYLE,Silver,Torri Huske,United States,2024,Paris,Summer
SWIMMING,"WOMEN’S 1,500M FREESTYLE",Silver,Anastasiia Kirpichnikova,France,2024,Paris,Summer
SWIMMING,MEN’S 100M FREESTYLE,Silver,Kyle Chalmers,Australia,2024,Paris,Summer
SWIMMING,MEN’S 200M BREASTSTROKE,Silver,Zac Stubblety-Cook,Australia,2024,Paris,Summer
SWIMMING,MEN’S 200M BUTTERFLY,Silver,Kristof Milak,Hungary,2024,Paris,Summer
SHOOTING,WOMEN’S TRAP,Silver,Silvana Maria Stanco,Italy,2024,Paris,Summer
TRIATHLON,WOMEN,Silver,Julie Derron,Switzerland,2024,Paris,Summer
TRIATHLON,MEN,Silver,Hayden Wilde,New Zealand,2024,Paris,Summer
FENCING,WOMEN’S EPEE TEAM,Silver,France,France,2024,Paris,Summer
GYMNASTICS,WOMEN’S TEAM,Silver,Italy,Italy,2024,Paris,Summer
JUDO,WOMEN’S 63KG,Silver,Prisca Awiti Alcaraz,Mexico,2024,Paris,Summer
JUDO,MEN’S 81KG,Silver,Tato Grigalashvili,Georgia,2024,Paris,Summer
RUGBY SEVENS,WOMEN’S,Silver,Canada,Canada,2024,Paris,Summer
SHOOTING,MIXED TEAM 10M AIR PISTOL,Silver,Sevval Ilayda Tarhan and Yusef Dikec,Turkey,2024,Paris,Summer
SHOOTING,MEN’S TRAP,Silver,Qi Ying,China,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BACKSTROKE,Silver,Regan Smith,United States,2024,Paris,Summer
SWIMMING,MEN’S 800M FREESTYLE,Silver,Bobby Finke,United States,2024,Paris,Summer
SWIMMING,MEN’S 4X200M FREESTYLE RELAY,Silver,United States,United States,2024,Paris,Summer
TABLE TENNIS,MEN’S 4x200M FREESTYLE RELAY,Silver,Ri Jong-sik and Kim Kum-yong,North Korea,2024,Paris,Summer
ARCHERY,MIXED DOUBLES,Silver,France,France,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S TEAM,Silver,China,China,2024,Paris,Summer
CANOE SLALOM,MEN’S TEAM,Silver,Adam Burgess,Great Britain,2024,Paris,Summer
CYCLING MOUNTAIN BIKE,MEN’S CANOE SINGLE,Silver,Victor Koretzky,France,2024,Paris,Summer
DIVING,MEN’S CROSS-COUNTRY,Silver,Tom Daley and Noah Williams,Great Britain,2024,Paris,Summer
EQUESTRIAN,MEN’S SYNCHRONIZED 10M PLATFORM,Silver,France,France,2024,Paris,Summer
FENCING,EVENTING TEAM,Silver,Sara Balzer,France,2024,Paris,Summer
FENCING,MEN’S FOIL INDIVIDUAL,Silver,Filippo Macchi,Italy,2024,Paris,Summer
JUDO,WOMEN’S SABER INDIVIDUAL,Silver,Mimi Huh,South Korea,2024,Paris,Summer
JUDO,MEN’S 73KG,Silver,Joan-Benjamin Gaba,France,2024,Paris,Summer
SHOOTING,WOMEN’S 57KG,Silver,Huang Yuting,China,2024,Paris,Summer
SHOOTING,MEN’S 10M AIR RIFLE,Silver,Victor Lindgren,Sweden,2024,Paris,Summer
SKATEBOARDING,WOMEN’S 10M AIR RIFLE,Silver,Jagger Eaton,United States,2024,Paris,Summer
